GATEWAY_USERID,GATEWAY_PASSWORD,GATEWAY_PAYESCHEME
fptuser1,password,001/FPT0001
fptuser2,password,001/FPT0002
fptuser3,password,001/FPT0003
fptuser4,password,001/FPT0004
fptuser5,password,001/FPT0005
fptuser6,password,001/FPT0006
fptuser7,password,001/FPT0007
fptuser8,password,001/FPT0008
fptuser9,password,001/FPT0009
fptuser10,password,001/FPT0010
fptuser11,password,001/FPT0011
fptuser12,password,001/FPT0012
fptuser13,password,001/FPT0013
fptuser14,password,001/FPT0014
fptuser15,password,001/FPT0015
fptuser16,password,001/FPT0016
fptuser17,password,001/FPT0017
fptuser18,password,001/FPT0018
fptuser19,password,001/FPT0019
fptuser20,password,001/FPT0020
fptuser21,password,001/FPT0021
fptuser22,password,001/FPT0022
fptuser23,password,001/FPT0023
fptuser24,password,001/FPT0024
fptuser25,password,001/FPT0025
fptuser26,password,001/FPT0026
fptuser27,password,001/FPT0027
fptuser28,password,001/FPT0028
fptuser29,password,001/FPT0029
fptuser30,password,001/FPT0030
fptuser31,password,001/FPT0031
fptuser32,password,001/FPT0032
fptuser33,password,001/FPT0033
fptuser34,password,001/FPT0034
fptuser35,password,001/FPT0035
fptuser36,password,001/FPT0036
fptuser37,password,001/FPT0037
fptuser38,password,001/FPT0038
fptuser39,password,001/FPT0039
fptuser40,password,001/FPT0040
